,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
0,-46.6,62.56,88,48,4.52
1,51.1,24.8,92,0,5.82
2,-27.98,82.4,65,88,9.17
3,-24.0,77.14,36,68,11.45
4,-12.23,82.4,78,75,11.41
5,55.1,-25.61,67,20,1.39
6,44.55,-12.48,41,75,13.87
7,-21.08,80.6,78,90,17.22
8,-33.68,60.94,100,0,16.71
9,50.26,-29.25,40,0,2.62
10,69.22,6.8,55,0,16.11
11,68.31,10.49,100,8,5.41
12,5.79,72.27,98,64,2.39
13,-0.95,75.2,94,20,2.24
14,46.17,17.4,97,75,4.7
15,35.13,41.0,48,75,5.82
16,29.16,40.64,53,0,6.53
17,19.73,73.94,66,40,19.46
18,-33.02,74.97,82,88,5.41
19,-28.26,88.79,53,8,12.91
20,66.77,-29.61,49,48,2.95
21,46.54,19.13,100,0,7.2
22,71.92,-30.51,51,56,3.62
23,45.23,24.98,100,0,14.36
24,68.53,-50.94,0,0,2.95
25,64.38,14.0,56,0,17.9
26,53.8,38.21,100,36,12.91
27,34.67,46.4,42,75,4.7
28,-3.32,78.8,88,0,3.36
29,61.27,17.6,85,90,3.36
30,77.48,-9.45,83,0,9.78
31,-9.8,81.68,100,48,20.4
32,3.16,83.25,100,56,15.48
33,-31.43,89.6,40,76,12.75
34,63.17,19.4,85,88,4.7
35,13.49,70.79,77,0,8.43
36,38.96,17.49,67,90,9.17
37,41.31,22.98,53,1,8.05
38,20.89,69.71,93,75,26.4
39,21.35,74.8,73,90,16.11
40,-34.0,65.84,88,44,12.24
41,58.81,18.72,92,76,12.68
42,65.85,2.66,77,56,6.87
43,65.11,-5.72,57,48,2.62
44,61.11,14.31,84,92,7.99
45,68.05,5.63,90,32,15.82
46,55.21,6.44,80,92,3.29
47,50.6,-15.75,56,0,4.18
48,55.61,24.37,92,75,11.18
49,51.72,-2.48,44,32,5.97
50,70.63,-40.41,0,0,6.31
51,71.69,-33.12,58,68,3.29
52,71.97,-38.57,81,24,7.31
53,-35.19,95.0,26,0,16.11
54,32.41,46.89,100,75,8.99
55,49.78,1.4,77,90,12.75
56,-33.92,68.0,88,0,4.7
57,34.23,37.04,38,20,8.05
58,39.25,34.56,86,8,4.97
59,44.52,-5.07,39,75,20.8
60,60.14,29.39,95,24,41.54
61,69.38,-10.53,73,8,7.99
62,39.42,39.2,80,75,5.82
63,62.46,-16.61,68,75,11.41
64,-42.88,77.0,22,0,6.93
65,-42.89,77.0,22,0,6.93
66,-35.12,95.0,26,0,16.11
67,-0.74,84.2,70,20,12.75
68,-28.77,71.6,68,20,14.99
69,59.38,-21.6,100,32,5.86
70,55.65,-14.13,57,32,2.84
71,61.67,-12.24,55,36,2.62
72,68.05,-24.39,35,20,2.39
73,73.51,-18.54,83,8,8.88
74,53.75,-8.59,76,64,2.51
75,54.72,8.29,76,92,2.84
76,57.8,10.54,92,88,4.41
77,68.75,-26.82,42,68,2.95
78,69.49,-51.57,0,0,1.95
79,63.28,-21.38,62,44,1.16
80,4.88,79.47,100,0,5.64
81,-33.93,68.0,88,75,4.7
82,35.0,57.11,77,0,19.46
83,35.17,56.93,77,0,19.46
84,35.17,56.93,77,0,19.46
85,34.64,58.32,87,90,8.05
86,31.47,46.49,86,75,5.82
87,62.18,18.41,92,88,12.35
88,56.91,-29.07,40,24,2.17
89,-28.0,82.4,65,88,9.17
90,-34.71,60.8,63,75,5.82
91,-35.02,60.8,63,75,5.82
92,-36.59,73.4,83,90,11.41
93,-36.55,73.4,83,90,11.41
94,-42.78,77.0,22,0,6.93
95,-37.6,88.18,21,0,17.22
96,-34.73,74.25,75,0,6.42
97,-34.73,74.25,75,0,6.42
98,35.6,14.09,84,88,3.18
99,40.13,11.25,65,0,2.62
100,36.6,23.85,49,92,7.54
101,41.12,13.91,89,76,4.41
102,18.3,55.04,91,32,2.39
103,50.25,21.42,91,92,4.85
104,51.96,7.3,75,20,10.0
105,45.32,23.05,90,64,10.67
106,42.87,13.5,66,32,4.29
107,39.36,52.7,71,20,5.82
108,39.36,52.7,71,20,5.82
109,38.8,52.74,100,75,3.36
110,38.8,52.74,100,75,3.36
111,37.8,59.0,87,75,6.93
112,26.33,53.6,81,40,6.93
113,54.78,23.0,73,90,2.24
114,50.02,38.03,86,75,3.36
115,58.52,1.4,77,90,3.36
116,49.68,-15.48,67,64,3.4
117,55.74,-31.01,59,20,5.82
118,65.28,3.2,71,90,5.82
119,51.23,-0.09,100,12,10.67
120,58.81,10.4,92,90,1.5
121,51.95,-15.3,65,12,4.29
122,47.67,21.2,67,5,13.87
123,60.75,24.12,84,92,3.85
